method,culture,prompt_language,seed,model_pair,edge_distance
sequential,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.08285714285714285
sequential,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.10244897959183673
sequential,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.13959183673469389
sequential,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.1653061224489796
sequential,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13673469387755102
sequential,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15755102040816327
sequential,india,english,0,gpt-4.1 vs gpt-4.1-mini,0.07224489795918368
sequential,india,english,1,gpt-4.1 vs gpt-4.1-mini,0.09877551020408164
sequential,india,english,0,gpt-4.1 vs gpt-4.1-nano,0.1346938775510204
sequential,india,english,1,gpt-4.1 vs gpt-4.1-nano,0.156734693877551
sequential,india,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13673469387755102
sequential,india,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15346938775510205
sequential,japan,english,0,gpt-4.1 vs gpt-4.1-mini,0.06979591836734694
sequential,japan,english,1,gpt-4.1 vs gpt-4.1-mini,0.09877551020408164
sequential,japan,english,0,gpt-4.1 vs gpt-4.1-nano,0.1253061224489796
sequential,japan,english,1,gpt-4.1 vs gpt-4.1-nano,0.15877551020408162
sequential,japan,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.12897959183673469
sequential,japan,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15306122448979592
sequential,brazil,english,0,gpt-4.1 vs gpt-4.1-mini,0.06571428571428571
sequential,brazil,english,1,gpt-4.1 vs gpt-4.1-mini,0.1
sequential,brazil,english,0,gpt-4.1 vs gpt-4.1-nano,0.12816326530612246
sequential,brazil,english,1,gpt-4.1 vs gpt-4.1-nano,0.16448979591836735
sequential,brazil,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.12285714285714286
sequential,brazil,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15755102040816327
