culture,model,prompt_language,seed,method_pair,edge_distance
us,gpt-4.1-nano,english,0,global vs iterative,0.10938775510204081
us,gpt-4.1-nano,english,1,global vs iterative,0.11836734693877551
us,gpt-4.1-nano,english,0,global vs local,0.10857142857142857
us,gpt-4.1-nano,english,1,global vs local,0.11877551020408163
us,gpt-4.1-nano,english,0,iterative vs local,0.12489795918367347
us,gpt-4.1-nano,english,1,iterative vs local,0.1416326530612245
us,gpt-4.1-mini,english,0,global vs iterative,0.08693877551020408
us,gpt-4.1-mini,english,1,global vs iterative,0.10775510204081633
us,gpt-4.1-mini,english,0,global vs local,0.08979591836734693
us,gpt-4.1-mini,english,1,global vs local,0.10285714285714286
us,gpt-4.1-mini,english,0,iterative vs local,0.08612244897959184
us,gpt-4.1-mini,english,1,iterative vs local,0.11183673469387755
us,gpt-4.1,english,0,global vs iterative,0.08693877551020408
us,gpt-4.1,english,1,global vs iterative,0.10693877551020409
us,gpt-4.1,english,0,global vs local,0.09061224489795919
us,gpt-4.1,english,1,global vs local,0.10408163265306122
us,gpt-4.1,english,0,iterative vs local,0.08204081632653061
us,gpt-4.1,english,1,iterative vs local,0.10326530612244898
india,gpt-4.1-nano,english,0,global vs iterative,0.10285714285714286
india,gpt-4.1-nano,english,1,global vs iterative,0.12122448979591836
india,gpt-4.1-nano,english,0,global vs local,0.10571428571428572
india,gpt-4.1-nano,english,1,global vs local,0.11755102040816326
india,gpt-4.1-nano,english,0,iterative vs local,0.11224489795918367
india,gpt-4.1-nano,english,1,iterative vs local,0.14489795918367346
india,gpt-4.1-mini,english,0,global vs iterative,0.0910204081632653
india,gpt-4.1-mini,english,1,global vs iterative,0.10489795918367346
india,gpt-4.1-mini,english,0,global vs local,0.08979591836734693
india,gpt-4.1-mini,english,1,global vs local,0.1036734693877551
india,gpt-4.1-mini,english,0,iterative vs local,0.06408163265306123
india,gpt-4.1-mini,english,1,iterative vs local,0.11306122448979591
india,gpt-4.1,english,0,global vs iterative,0.07959183673469387
india,gpt-4.1,english,1,global vs iterative,0.09959183673469388
india,gpt-4.1,english,0,global vs local,0.08163265306122448
india,gpt-4.1,english,1,global vs local,0.09591836734693877
india,gpt-4.1,english,0,iterative vs local,0.07387755102040816
india,gpt-4.1,english,1,iterative vs local,0.11061224489795918
japan,gpt-4.1-nano,english,0,global vs iterative,0.09142857142857143
japan,gpt-4.1-nano,english,1,global vs iterative,0.11918367346938775
japan,gpt-4.1-nano,english,0,global vs local,0.09142857142857143
japan,gpt-4.1-nano,english,1,global vs local,0.11591836734693878
japan,gpt-4.1-nano,english,0,iterative vs local,0.11183673469387755
japan,gpt-4.1-nano,english,1,iterative vs local,0.1363265306122449
japan,gpt-4.1-mini,english,0,global vs iterative,0.08244897959183674
japan,gpt-4.1-mini,english,1,global vs iterative,0.10693877551020409
japan,gpt-4.1-mini,english,0,global vs local,0.08244897959183674
japan,gpt-4.1-mini,english,1,global vs local,0.10816326530612246
japan,gpt-4.1-mini,english,0,iterative vs local,0.06857142857142857
japan,gpt-4.1-mini,english,1,iterative vs local,0.09836734693877551
japan,gpt-4.1,english,0,global vs iterative,0.09306122448979592
japan,gpt-4.1,english,1,global vs iterative,0.0963265306122449
japan,gpt-4.1,english,0,global vs local,0.09755102040816327
japan,gpt-4.1,english,1,global vs local,0.09836734693877551
japan,gpt-4.1,english,0,iterative vs local,0.07387755102040816
japan,gpt-4.1,english,1,iterative vs local,0.10244897959183673
brazil,gpt-4.1-nano,english,0,global vs iterative,0.09918367346938775
brazil,gpt-4.1-nano,english,1,global vs iterative,0.13959183673469389
brazil,gpt-4.1-nano,english,0,global vs local,0.10408163265306122
brazil,gpt-4.1-nano,english,1,global vs local,0.12448979591836734
brazil,gpt-4.1-nano,english,0,iterative vs local,0.10285714285714286
brazil,gpt-4.1-nano,english,1,iterative vs local,0.14244897959183672
brazil,gpt-4.1-mini,english,0,global vs iterative,0.08734693877551021
brazil,gpt-4.1-mini,english,1,global vs iterative,0.1
brazil,gpt-4.1-mini,english,0,global vs local,0.08571428571428572
brazil,gpt-4.1-mini,english,1,global vs local,0.10285714285714286
brazil,gpt-4.1-mini,english,0,iterative vs local,0.07183673469387755
brazil,gpt-4.1-mini,english,1,iterative vs local,0.09918367346938775
brazil,gpt-4.1,english,0,global vs iterative,0.0946938775510204
brazil,gpt-4.1,english,1,global vs iterative,0.10857142857142857
brazil,gpt-4.1,english,0,global vs local,0.09591836734693877
brazil,gpt-4.1,english,1,global vs local,0.10408163265306122
brazil,gpt-4.1,english,0,iterative vs local,0.06653061224489797
brazil,gpt-4.1,english,1,iterative vs local,0.09673469387755101
